"filename", "language", "TypeScript", "vue", "CSS", "HTML", "comment", "blank", "total"
"d:\_git\soft-zihan.github.io\src\App.vue", "vue", 0, 451, 0, 0, 6, 67, 524
"d:\_git\soft-zihan.github.io\src\components\AppHeader.vue", "vue", 0, 899, 0, 0, 22, 86, 1007
"d:\_git\soft-zihan.github.io\src\components\AppSidebar.vue", "vue", 0, 350, 0, 0, 13, 37, 400
"d:\_git\soft-zihan.github.io\src\components\ArticleCard.vue", "vue", 0, 129, 0, 0, 8, 26, 163
"d:\_git\soft-zihan.github.io\src\components\BannerSettings.vue", "vue", 0, 149, 0, 0, 4, 18, 171
"d:\_git\soft-zihan.github.io\src\components\DownloadModal.vue", "vue", 0, 599, 0, 0, 11, 79, 689
"d:\_git\soft-zihan.github.io\src\components\DownloadTreeNode.vue", "vue", 0, 111, 0, 0, 7, 16, 134
"d:\_git\soft-zihan.github.io\src\components\FileTree.vue", "vue", 0, 69, 0, 0, 5, 10, 84
"d:\_git\soft-zihan.github.io\src\components\FloatingSelectionMenu.vue", "vue", 0, 45, 0, 0, 3, 7, 55
"d:\_git\soft-zihan.github.io\src\components\FolderView.vue", "vue", 0, 100, 0, 0, 0, 15, 115
"d:\_git\soft-zihan.github.io\src\components\GiscusComments.vue", "vue", 0, 146, 0, 0, 1, 22, 169
"d:\_git\soft-zihan.github.io\src\components\GlobalAudio.vue", "vue", 0, 429, 0, 0, 13, 69, 511
"d:\_git\soft-zihan.github.io\src\components\MainContent.vue", "vue", 0, 113, 0, 0, 7, 13, 133
"d:\_git\soft-zihan.github.io\src\components\Modals\CodeModal.vue", "vue", 0, 49, 0, 0, 2, 7, 58
"d:\_git\soft-zihan.github.io\src\components\Modals\Lightbox.vue", "vue", 0, 14, 0, 0, 0, 3, 17
"d:\_git\soft-zihan.github.io\src\components\MusicPlayer.vue", "vue", 0, 268, 0, 0, 16, 33, 317
"d:\_git\soft-zihan.github.io\src\components\PetalBackground.vue", "vue", 0, 153, 0, 0, 3, 24, 180
